text,question,answer,answer_start
"Greensboro is a city in North Carolina. The Greensboro Science Center houses red pandas, sharks and a hands-on museum. Nearby, Guilford Courthouse National Military Park has displays on the American Revolution. Video re-enactments and interactive exhibits trace the civil rights struggle at the International Civil Rights Center & Museum. The Bog Garden is a wetlands area with flowers, birds and an elevated boardwalk.",What are some of the famous museums in Greensboro? ,"The Greensboro Science Center houses red pandas, sharks and a hands-on museum. Nearby, Guilford Courthouse National Military Park has displays on the American Revolution. Video re-enactments and interactive exhibits trace the civil rights struggle at the International Civil Rights Center & Museum.",40
"Greensboro is a city in North Carolina. The Greensboro Science Center houses red pandas, sharks and a hands-on museum. Nearby, Guilford Courthouse National Military Park has displays on the American Revolution. Video re-enactments and interactive exhibits trace the civil rights struggle at the International Civil Rights Center & Museum. The Bog Garden is a wetlands area with flowers, birds and an elevated boardwalk.",What is the city?,Greensboro ,0
"Greensboro is a city in North Carolina. The Greensboro Science Center houses red pandas, sharks and a hands-on museum. Nearby, Guilford Courthouse National Military Park has displays on the American Revolution. Video re-enactments and interactive exhibits trace the civil rights struggle at the International Civil Rights Center & Museum. The Bog Garden is a wetlands area with flowers, birds and an elevated boardwalk.","What is the city known for?
","The Bog Garden is a wetlands area with flowers, birds and an elevated boardwalk.",339
"Lexington is a city in Kentucky. It�s known for horse farms and thoroughbred racetracks like Keeneland. The Kentucky Horse Park features the International Museum of the Horse, the Hall of Champions and many equine breeds. Ashland, the estate of 1800s politician Henry Clay, includes a mansion and formal garden. Clay is buried at the Lexington Cemetery, which has an arboretum, lakes and a Romanesque gatehouse.",Which state is the city in?,Kentucky.,23
"Lexington is a city in Kentucky. It�s known for horse farms and thoroughbred racetracks like Keeneland. The Kentucky Horse Park features the International Museum of the Horse, the Hall of Champions and many equine breeds. Ashland, the estate of 1800s politician Henry Clay, includes a mansion and formal garden. Clay is buried at the Lexington Cemetery, which has an arboretum, lakes and a Romanesque gatehouse.",What is the city?,Lexington ,0
"Lexington is a city in Kentucky. It�s known for horse farms and thoroughbred racetracks like Keeneland. The Kentucky Horse Park features the International Museum of the Horse, the Hall of Champions and many equine breeds. Ashland, the estate of 1800s politician Henry Clay, includes a mansion and formal garden. Clay is buried at the Lexington Cemetery, which has an arboretum, lakes and a Romanesque gatehouse.","What is the city known for?
","It�s known for horse farms and thoroughbred racetracks like Keeneland. The Kentucky Horse Park features the International Museum of the Horse, the Hall of Champions and many equine breeds. Ashland, the estate of 1800s politician Henry Clay, includes a mansion and formal garden. Clay is buried at the Lexington Cemetery, which has an arboretum, lakes and a Romanesque gatehouse.",33
"Tampa is a city on Tampa Bay, along Florida�s Gulf Coast. A major business center, it�s also known for its museums and other cultural offerings. Busch Gardens is an African-themed amusement park with thrill rides and animal-viewing areas. The historic Ybor City neighborhood, developed by Cuban and Spanish cigar-factory workers at the turn of the 20th century, is a dining and nightlife destination.�",Which state is the city in?,Florida,36
"Tampa is a city on Tampa Bay, along Florida�s Gulf Coast. A major business center, it�s also known for its museums and other cultural offerings. Busch Gardens is an African-themed amusement park with thrill rides and animal-viewing areas. The historic Ybor City neighborhood, developed by Cuban and Spanish cigar-factory workers at the turn of the 20th century, is a dining and nightlife destination.�","Where is the city located?
","on Tampa Bay, along Florida�s Gulf Coast",16
"Tampa is a city on Tampa Bay, along Florida�s Gulf Coast. A major business center, it�s also known for its museums and other cultural offerings. Busch Gardens is an African-themed amusement park with thrill rides and animal-viewing areas. The historic Ybor City neighborhood, developed by Cuban and Spanish cigar-factory workers at the turn of the 20th century, is a dining and nightlife destination.�",What are some major attractions in Tampa city?,"Busch Gardens is an African-themed amusement park with thrill rides and animal-viewing areas. The historic Ybor City neighborhood, developed by Cuban and Spanish cigar-factory workers at the turn of the 20th century, is a dining and nightlife destination.",145
"Tampa is a city on Tampa Bay, along Florida�s Gulf Coast. A major business center, it�s also known for its museums and other cultural offerings. Busch Gardens is an African-themed amusement park with thrill rides and animal-viewing areas. The historic Ybor City neighborhood, developed by Cuban and Spanish cigar-factory workers at the turn of the 20th century, is a dining and nightlife destination.�",What is the city?,Tampa ,0
"Tampa is a city on Tampa Bay, along Florida�s Gulf Coast. A major business center, it�s also known for its museums and other cultural offerings. Busch Gardens is an African-themed amusement park with thrill rides and animal-viewing areas. The historic Ybor City neighborhood, developed by Cuban and Spanish cigar-factory workers at the turn of the 20th century, is a dining and nightlife destination.�","What is the city known for?
","A major business center, it�s also known for its museums and other cultural offerings",58
"Anaheim is a city outside Los Angeles, in Southern California. It's home to the Disneyland Resort, a massive complex of family-friendly, Disney-themed rides, restaurants, hotels and shops. The city's also home to pro sports teams. The Honda Center is the indoor arena where the Anaheim Ducks hockey team plays, and Angel Stadium is the home field of the Los Angeles Angels baseball team.",Which state is the city in?,California,51
"Anaheim is a city outside Los Angeles, in Southern California. It's home to the Disneyland Resort, a massive complex of family-friendly, Disney-themed rides, restaurants, hotels and shops. The city's also home to pro sports teams. The Honda Center is the indoor arena where the Anaheim Ducks hockey team plays, and Angel Stadium is the home field of the Los Angeles Angels baseball team.","Where is the city located?
","a city outside Los Angeles, in Southern California",11
"Anaheim is a city outside Los Angeles, in Southern California. It's home to the Disneyland Resort, a massive complex of family-friendly, Disney-themed rides, restaurants, hotels and shops. The city's also home to pro sports teams. The Honda Center is the indoor arena where the Anaheim Ducks hockey team plays, and Angel Stadium is the home field of the Los Angeles Angels baseball team.",What are the pro sports teams based in Anaheim?,"The city's also home to pro sports teams. The Honda Center is the indoor arena where the Anaheim Ducks hockey team plays, and Angel Stadium is the home field of the Los Angeles Angels baseball team.",189
"Anaheim is a city outside Los Angeles, in Southern California. It's home to the Disneyland Resort, a massive complex of family-friendly, Disney-themed rides, restaurants, hotels and shops. The city's also home to pro sports teams. The Honda Center is the indoor arena where the Anaheim Ducks hockey team plays, and Angel Stadium is the home field of the Los Angeles Angels baseball team.",What is the city?,Anaheim ,0
"Anaheim is a city outside Los Angeles, in Southern California. It's home to the Disneyland Resort, a massive complex of family-friendly, Disney-themed rides, restaurants, hotels and shops. The city's also home to pro sports teams. The Honda Center is the indoor arena where the Anaheim Ducks hockey team plays, and Angel Stadium is the home field of the Los Angeles Angels baseball team.","What is the city known for?
","It's home to the Disneyland Resort, a massive complex of family-friendly, Disney-themed rides, restaurants, hotels and shops",63
"Santa Ana is a city in Orange County, California. It's home to the Santa Ana Zoo, with its monkeys, mini-train and walk-through aviary. In a Mission Revival�style building, the Bowers Museum displays a large collection of Native American art. The Discovery Cube Orange County is a children's museum with hands-on science exhibits. The Heritage Museum of Orange County features restored 1890s homes set amid gardens.",Which state is the city in?,California,38
"Santa Ana is a city in Orange County, California. It's home to the Santa Ana Zoo, with its monkeys, mini-train and walk-through aviary. In a Mission Revival�style building, the Bowers Museum displays a large collection of Native American art. The Discovery Cube Orange County is a children's museum with hands-on science exhibits. The Heritage Museum of Orange County features restored 1890s homes set amid gardens.","Where is the city located?
",a city in Orange County,13
"Santa Ana is a city in Orange County, California. It's home to the Santa Ana Zoo, with its monkeys, mini-train and walk-through aviary. In a Mission Revival�style building, the Bowers Museum displays a large collection of Native American art. The Discovery Cube Orange County is a children's museum with hands-on science exhibits. The Heritage Museum of Orange County features restored 1890s homes set amid gardens.",What are some of the famous museums in Santa Ana city in California?,"In a Mission Revival�style building, the Bowers Museum displays a large collection of Native American art. The Discovery Cube Orange County is a children's museum with hands-on science exhibits. The Heritage Museum of Orange County features restored 1890s homes set amid gardens.",136
"Santa Ana is a city in Orange County, California. It's home to the Santa Ana Zoo, with its monkeys, mini-train and walk-through aviary. In a Mission Revival�style building, the Bowers Museum displays a large collection of Native American art. The Discovery Cube Orange County is a children's museum with hands-on science exhibits. The Heritage Museum of Orange County features restored 1890s homes set amid gardens.",What is the city?,Santa Ana,0
"Santa Ana is a city in Orange County, California. It's home to the Santa Ana Zoo, with its monkeys, mini-train and walk-through aviary. In a Mission Revival�style building, the Bowers Museum displays a large collection of Native American art. The Discovery Cube Orange County is a children's museum with hands-on science exhibits. The Heritage Museum of Orange County features restored 1890s homes set amid gardens.","What is the city known for?
"," It's home to the Santa Ana Zoo, with its monkeys, mini-train and walk-through aviary",49
"St. Louis is a major city in Missouri along the Mississippi River. Its iconic, 630-ft. Gateway Arch, built in the 1960s, honors the early 19th-century explorations of Lewis and Clark and America's westward expansion in general. Replica paddlewheelers ply the river, offering views of the arch. The Soulard district is home to barbecue restaurants and clubs playing blues music.",Which state is the city in?,Missouri,29
"St. Louis is a major city in Missouri along the Mississippi River. Its iconic, 630-ft. Gateway Arch, built in the 1960s, honors the early 19th-century explorations of Lewis and Clark and America's westward expansion in general. Replica paddlewheelers ply the river, offering views of the arch. The Soulard district is home to barbecue restaurants and clubs playing blues music.","Where is the city located?
",along the Mississippi River.,38
"St. Louis is a major city in Missouri along the Mississippi River. Its iconic, 630-ft. Gateway Arch, built in the 1960s, honors the early 19th-century explorations of Lewis and Clark and America's westward expansion in general. Replica paddlewheelers ply the river, offering views of the arch. The Soulard district is home to barbecue restaurants and clubs playing blues music.",What is the city?,St. Louis,0
"St. Louis is a major city in Missouri along the Mississippi River. Its iconic, 630-ft. Gateway Arch, built in the 1960s, honors the early 19th-century explorations of Lewis and Clark and America's westward expansion in general. Replica paddlewheelers ply the river, offering views of the arch. The Soulard district is home to barbecue restaurants and clubs playing blues music.","What is the city known for?
","Its iconic, 630-ft. Gateway Arch, built in the 1960s, honors the early 19th-century explorations of Lewis and Clark and America's westward expansion in general. Replica paddlewheelers ply the river, offering views of the arch. The Soulard district is home to barbecue restaurants and clubs playing blues music.",67
"Cincinnati is a city in Ohio, on the Ohio River. The Over-the-Rhine district is known for its 19th-century architecture, including Findlay Market, which has food and craft vendors. To the north is the Cincinnati Zoo & Botanical Garden. The Cincinnati Museum Center encompasses history, science and children's museums in the art deco Union Terminal. Works spanning 6,000 years are on display at the Cincinnati Art Museum.�",Which state is the city in?,Ohio,24
"Cincinnati is a city in Ohio, on the Ohio River. The Over-the-Rhine district is known for its 19th-century architecture, including Findlay Market, which has food and craft vendors. To the north is the Cincinnati Zoo & Botanical Garden. The Cincinnati Museum Center encompasses history, science and children's museums in the art deco Union Terminal. Works spanning 6,000 years are on display at the Cincinnati Art Museum.�","Where is the city located?
",on the Ohio River,30
"Cincinnati is a city in Ohio, on the Ohio River. The Over-the-Rhine district is known for its 19th-century architecture, including Findlay Market, which has food and craft vendors. To the north is the Cincinnati Zoo & Botanical Garden. The Cincinnati Museum Center encompasses history, science and children's museums in the art deco Union Terminal. Works spanning 6,000 years are on display at the Cincinnati Art Museum.�",What are some famous museums in Cincinnati?,"The Cincinnati Museum Center encompasses history, science and children's museums in the art deco Union Terminal. Works spanning 6,000 years are on display at the Cincinnati Art Museum.",236
"Cincinnati is a city in Ohio, on the Ohio River. The Over-the-Rhine district is known for its 19th-century architecture, including Findlay Market, which has food and craft vendors. To the north is the Cincinnati Zoo & Botanical Garden. The Cincinnati Museum Center encompasses history, science and children's museums in the art deco Union Terminal. Works spanning 6,000 years are on display at the Cincinnati Art Museum.�",What is the city?,Cincinnati,0
"Cincinnati is a city in Ohio, on the Ohio River. The Over-the-Rhine district is known for its 19th-century architecture, including Findlay Market, which has food and craft vendors. To the north is the Cincinnati Zoo & Botanical Garden. The Cincinnati Museum Center encompasses history, science and children's museums in the art deco Union Terminal. Works spanning 6,000 years are on display at the Cincinnati Art Museum.�","What is the city known for?
"," known for its 19th-century architecture, including Findlay Market, which has food and craft vendors.",79
"Riverside is a city in and the county seat of Riverside County, California, United States, in the Inland Empire metropolitan area. It is named for its location beside the Santa Ana River. It is the most populous city in the Inland Empire and in Riverside County, and is about 50 miles southeast of downtown Los Angeles.",Which state is the city in?,California,64
"Riverside is a city in and the county seat of Riverside County, California, United States, in the Inland Empire metropolitan area. It is named for its location beside the Santa Ana River. It is the most populous city in the Inland Empire and in Riverside County, and is about 50 miles southeast of downtown Los Angeles.","Where is the city located?
", in the Inland Empire metropolitan area. It is named for its location beside the Santa Ana River.,90
"Riverside is a city in and the county seat of Riverside County, California, United States, in the Inland Empire metropolitan area. It is named for its location beside the Santa Ana River. It is the most populous city in the Inland Empire and in Riverside County, and is about 50 miles southeast of downtown Los Angeles.",What is the city?,Riverside,0
"Honolulu, on the island of Oahu�s south shore, is capital of Hawaii and gateway to the U.S. island chain. The Waikiki neighborhood is its center for dining, nightlife and shopping, famed for its iconic crescent beach backed by palms and high-rise hotels, with volcanic Diamond Head crater looming in the distance. Sites relating to the World War II attack on Pearl Harbor include the USS Arizona Memorial.",Which state is the city in?,Hawaii ,61
"Honolulu, on the island of Oahu�s south shore, is capital of Hawaii and gateway to the U.S. island chain. The Waikiki neighborhood is its center for dining, nightlife and shopping, famed for its iconic crescent beach backed by palms and high-rise hotels, with volcanic Diamond Head crater looming in the distance. Sites relating to the World War II attack on Pearl Harbor include the USS Arizona Memorial.","Where is the city located?
",on the island of Oahu�s south shore,10
"Honolulu, on the island of Oahu�s south shore, is capital of Hawaii and gateway to the U.S. island chain. The Waikiki neighborhood is its center for dining, nightlife and shopping, famed for its iconic crescent beach backed by palms and high-rise hotels, with volcanic Diamond Head crater looming in the distance. Sites relating to the World War II attack on Pearl Harbor include the USS Arizona Memorial.",What is the city?,"Honolulu,",0
"Honolulu, on the island of Oahu�s south shore, is capital of Hawaii and gateway to the U.S. island chain. The Waikiki neighborhood is its center for dining, nightlife and shopping, famed for its iconic crescent beach backed by palms and high-rise hotels, with volcanic Diamond Head crater looming in the distance. Sites relating to the World War II attack on Pearl Harbor include the USS Arizona Memorial.","What is the city known for?
","gateway to the U.S. island chain. The Waikiki neighborhood is its center for dining, nightlife and shopping, famed for its iconic crescent beach backed by palms and high-rise hotels, with volcanic Diamond Head crater looming in the distance. Sites relating to the World War II attack on Pearl Harbor include the USS Arizona Memorial.",72
"Pittsburgh is a city in western Pennsylvania at the junction of 3 rivers. Its Gilded Age sites, including the Carnegie Museum of Natural History, the Carnegie Museum of Art and the Phipps Conservatory and Botanical Gardens, speak to its history as an early-20th-century industrial capital. In the North Shore neighborhood are the modern Andy Warhol Museum, Heinz Field football stadium and PNC Park baseball stadium.�",Which state is the city in?,Pennsylvania,32
"Pittsburgh is a city in western Pennsylvania at the junction of 3 rivers. Its Gilded Age sites, including the Carnegie Museum of Natural History, the Carnegie Museum of Art and the Phipps Conservatory and Botanical Gardens, speak to its history as an early-20th-century industrial capital. In the North Shore neighborhood are the modern Andy Warhol Museum, Heinz Field football stadium and PNC Park baseball stadium.�","Where is the city located?
",n western Pennsylvania at the junction of 3 rivers,22
"Pittsburgh is a city in western Pennsylvania at the junction of 3 rivers. Its Gilded Age sites, including the Carnegie Museum of Natural History, the Carnegie Museum of Art and the Phipps Conservatory and Botanical Gardens, speak to its history as an early-20th-century industrial capital. In the North Shore neighborhood are the modern Andy Warhol Museum, Heinz Field football stadium and PNC Park baseball stadium.�",What are some of the famous museums in Pittsburgh?,"the Carnegie Museum of Natural History, the Carnegie Museum of Art and the Phipps Conservatory and Botanical Gardens, speak to its history as an early-20th-century industrial capital. In the North Shore neighborhood are the modern Andy Warhol Museum,",106
"Pittsburgh is a city in western Pennsylvania at the junction of 3 rivers. Its Gilded Age sites, including the Carnegie Museum of Natural History, the Carnegie Museum of Art and the Phipps Conservatory and Botanical Gardens, speak to its history as an early-20th-century industrial capital. In the North Shore neighborhood are the modern Andy Warhol Museum, Heinz Field football stadium and PNC Park baseball stadium.�",What is the city?,Pittsburgh ,0
"Pittsburgh is a city in western Pennsylvania at the junction of 3 rivers. Its Gilded Age sites, including the Carnegie Museum of Natural History, the Carnegie Museum of Art and the Phipps Conservatory and Botanical Gardens, speak to its history as an early-20th-century industrial capital. In the North Shore neighborhood are the modern Andy Warhol Museum, Heinz Field football stadium and PNC Park baseball stadium.�","What is the city known for?
","Its Gilded Age sites,",74
"Plano is a city in north Texas. The Heritage Farmstead Museum is a restored 19th-century farm with original tools and furniture, plus a replica 1895 schoolroom. The Interurban Railway Museum traces the history of the Texas Electric Railway, and has a vintage rail car. Trails wind through a nature preserve in Oak Point Park. Northeast of town is Southfork Ranch, made famous as the setting for the TV series �Dallas.��",Which state is the city in?,Texas,25
"Plano is a city in north Texas. The Heritage Farmstead Museum is a restored 19th-century farm with original tools and furniture, plus a replica 1895 schoolroom. The Interurban Railway Museum traces the history of the Texas Electric Railway, and has a vintage rail car. Trails wind through a nature preserve in Oak Point Park. Northeast of town is Southfork Ranch, made famous as the setting for the TV series �Dallas.��","Where is the city located?
",in north Texas,16
"Plano is a city in north Texas. The Heritage Farmstead Museum is a restored 19th-century farm with original tools and furniture, plus a replica 1895 schoolroom. The Interurban Railway Museum traces the history of the Texas Electric Railway, and has a vintage rail car. Trails wind through a nature preserve in Oak Point Park. Northeast of town is Southfork Ranch, made famous as the setting for the TV series �Dallas.��",What are some of the famous museums in Plano Texas?,"The Heritage Farmstead Museum is a restored 19th-century farm with original tools and furniture, plus a replica 1895 schoolroom. The Interurban Railway Museum traces the history of the Texas Electric Railway, and has a vintage rail car.",32
"Plano is a city in north Texas. The Heritage Farmstead Museum is a restored 19th-century farm with original tools and furniture, plus a replica 1895 schoolroom. The Interurban Railway Museum traces the history of the Texas Electric Railway, and has a vintage rail car. Trails wind through a nature preserve in Oak Point Park. Northeast of town is Southfork Ranch, made famous as the setting for the TV series �Dallas.��",What is the city?,Plano,0
"Plano is a city in north Texas. The Heritage Farmstead Museum is a restored 19th-century farm with original tools and furniture, plus a replica 1895 schoolroom. The Interurban Railway Museum traces the history of the Texas Electric Railway, and has a vintage rail car. Trails wind through a nature preserve in Oak Point Park. Northeast of town is Southfork Ranch, made famous as the setting for the TV series �Dallas.��","What is the city known for?
","Northeast of town is Southfork Ranch, made famous as the setting for the TV series �Dallas.",326
"Anchorage, Alaska�s largest city, is in the south-central part of the state on the Cook Inlet. It's known for its cultural sites, including the Alaska Native Heritage Center, which displays traditional crafts, stages dances, and presents replicas of dwellings from the area�s indigenous groups. The city is also a gateway to nearby wilderness areas and mountains including the Chugach, Kenai and Talkeetna.",Which state is the city in?,Alaska,11
"Anchorage, Alaska�s largest city, is in the south-central part of the state on the Cook Inlet. It's known for its cultural sites, including the Alaska Native Heritage Center, which displays traditional crafts, stages dances, and presents replicas of dwellings from the area�s indigenous groups. The city is also a gateway to nearby wilderness areas and mountains including the Chugach, Kenai and Talkeetna.","Where is the city located?
",in the south-central part of the state on the Cook Inlet,37
"Anchorage, Alaska�s largest city, is in the south-central part of the state on the Cook Inlet. It's known for its cultural sites, including the Alaska Native Heritage Center, which displays traditional crafts, stages dances, and presents replicas of dwellings from the area�s indigenous groups. The city is also a gateway to nearby wilderness areas and mountains including the Chugach, Kenai and Talkeetna.",What are the places for which Anchorage is considered a gateway for?,"The city is also a gateway to nearby wilderness areas and mountains including the Chugach, Kenai and Talkeetna.",295
"Anchorage, Alaska�s largest city, is in the south-central part of the state on the Cook Inlet. It's known for its cultural sites, including the Alaska Native Heritage Center, which displays traditional crafts, stages dances, and presents replicas of dwellings from the area�s indigenous groups. The city is also a gateway to nearby wilderness areas and mountains including the Chugach, Kenai and Talkeetna.",What is the city?,"Anchorage,",0
"Anchorage, Alaska�s largest city, is in the south-central part of the state on the Cook Inlet. It's known for its cultural sites, including the Alaska Native Heritage Center, which displays traditional crafts, stages dances, and presents replicas of dwellings from the area�s indigenous groups. The city is also a gateway to nearby wilderness areas and mountains including the Chugach, Kenai and Talkeetna.","What is the city known for?
","It's known for its cultural sites, including the Alaska Native Heritage Center, which displays traditional crafts, stages dances, and presents replicas of dwellings from the area�s indigenous groups",95
"Newark is a New Jersey city, home to Newark Liberty International Airport. The New Jersey Performing Arts Center (NJPAC) hosts big-name concerts, dance performances and other shows. Newark Museum�s broad art collection features American paintings and sculptures. Branch Brook Park offers pathways, lakes and abundant cherry trees. The huge Cathedral Basilica of the Sacred Heart was built over decades, starting in 1898.",Which state is the city in?,New Jersey ,12
"Newark is a New Jersey city, home to Newark Liberty International Airport. The New Jersey Performing Arts Center (NJPAC) hosts big-name concerts, dance performances and other shows. Newark Museum�s broad art collection features American paintings and sculptures. Branch Brook Park offers pathways, lakes and abundant cherry trees. The huge Cathedral Basilica of the Sacred Heart was built over decades, starting in 1898.",What is the city?,Newark,0
"Newark is a New Jersey city, home to Newark Liberty International Airport. The New Jersey Performing Arts Center (NJPAC) hosts big-name concerts, dance performances and other shows. Newark Museum�s broad art collection features American paintings and sculptures. Branch Brook Park offers pathways, lakes and abundant cherry trees. The huge Cathedral Basilica of the Sacred Heart was built over decades, starting in 1898.","What is the city known for?
","he New Jersey Performing Arts Center (NJPAC) hosts big-name concerts, dance performances and other shows. Newark Museum�s broad art collection features American paintings and sculptures. Branch Brook Park offers pathways, lakes and abundant cherry trees. The huge Cathedral Basilica of the Sacred Heart was built over decades, starting in 1898.",76
"Orlando, a city in central Florida, is home to more than a dozen theme parks. Chief among its claims to fame is Walt Disney World, comprised of parks like the Magic Kingdom and Epcot, as well as water parks. Another major destination, Universal Orlando, offers Universal Studios and Islands of Adventure, with the Wizarding World of Harry Potter straddling both.",Which state is the city in?,Florida,27
"Orlando, a city in central Florida, is home to more than a dozen theme parks. Chief among its claims to fame is Walt Disney World, comprised of parks like the Magic Kingdom and Epcot, as well as water parks. Another major destination, Universal Orlando, offers Universal Studios and Islands of Adventure, with the Wizarding World of Harry Potter straddling both.","Where is the city located?
",a city in central Florida,9
"Orlando, a city in central Florida, is home to more than a dozen theme parks. Chief among its claims to fame is Walt Disney World, comprised of parks like the Magic Kingdom and Epcot, as well as water parks. Another major destination, Universal Orlando, offers Universal Studios and Islands of Adventure, with the Wizarding World of Harry Potter straddling both.",What are some of the most famous theme parks in Orlando?," Walt Disney World, comprised of parks like the Magic Kingdom and Epcot, as well as water parks. Another major destination, Universal Orlando, offers Universal Studios and Islands of Adventure, with the Wizarding World of Harry Potter straddling both.",111
"Orlando, a city in central Florida, is home to more than a dozen theme parks. Chief among its claims to fame is Walt Disney World, comprised of parks like the Magic Kingdom and Epcot, as well as water parks. Another major destination, Universal Orlando, offers Universal Studios and Islands of Adventure, with the Wizarding World of Harry Potter straddling both.",What is the city?,"Orlando,",0
"Orlando, a city in central Florida, is home to more than a dozen theme parks. Chief among its claims to fame is Walt Disney World, comprised of parks like the Magic Kingdom and Epcot, as well as water parks. Another major destination, Universal Orlando, offers Universal Studios and Islands of Adventure, with the Wizarding World of Harry Potter straddling both.","What is the city known for?
"," Florida, is home to more than a dozen theme park",26
"Saint Paul, the state capital of Minnesota, forms the ""Twin Cities"" with neighboring Minneapolis. It�s home to the Science Museum of Minnesota, with its dinosaur specimens and immersive theater. The Minnesota History Center has interactive exhibits about the region's history. Nearby is the beaux arts Cathedral of Saint Paul. The Cass Gilbert�designed Minnesota State Capitol features paintings of Civil War scenes.",Which state is the city in?,Minnesota,33
"Saint Paul, the state capital of Minnesota, forms the ""Twin Cities"" with neighboring Minneapolis. It�s home to the Science Museum of Minnesota, with its dinosaur specimens and immersive theater. The Minnesota History Center has interactive exhibits about the region's history. Nearby is the beaux arts Cathedral of Saint Paul. The Cass Gilbert�designed Minnesota State Capitol features paintings of Civil War scenes.",What are some of the famous museums in Saint Paul? ,"It�s home to the Science Museum of Minnesota, with its dinosaur specimens and immersive theater. The Minnesota History Center has interactive exhibits about the region's history",98
"Saint Paul, the state capital of Minnesota, forms the ""Twin Cities"" with neighboring Minneapolis. It�s home to the Science Museum of Minnesota, with its dinosaur specimens and immersive theater. The Minnesota History Center has interactive exhibits about the region's history. Nearby is the beaux arts Cathedral of Saint Paul. The Cass Gilbert�designed Minnesota State Capitol features paintings of Civil War scenes.",What is the city?,"Saint Paul,",0
"Saint Paul, the state capital of Minnesota, forms the ""Twin Cities"" with neighboring Minneapolis. It�s home to the Science Museum of Minnesota, with its dinosaur specimens and immersive theater. The Minnesota History Center has interactive exhibits about the region's history. Nearby is the beaux arts Cathedral of Saint Paul. The Cass Gilbert�designed Minnesota State Capitol features paintings of Civil War scenes.","What is the city known for?
",the beaux arts Cathedral of Saint Paul. The Cass Gilbert�designed Minnesota State Capitol features paintings of Civil War scenes,287
"Toledo is an Ohio city at the western tip of Lake Erie. It's home to the Toledo Museum of Art, with its vast collection of modern and Renaissance work. Reflecting the city�s legacy of glass production, the museum's Glass Pavilion showcases thousands of glass works. By the Maumee River, the Imagination Station is a children's science museum with hands-on exhibits. The Toledo Zoo has polar bears, rides and an aquarium.�",Which state is the city in?,Ohio,13
"Toledo is an Ohio city at the western tip of Lake Erie. It's home to the Toledo Museum of Art, with its vast collection of modern and Renaissance work. Reflecting the city�s legacy of glass production, the museum's Glass Pavilion showcases thousands of glass works. By the Maumee River, the Imagination Station is a children's science museum with hands-on exhibits. The Toledo Zoo has polar bears, rides and an aquarium.�","Where is the city located?
",city at the western tip of Lake Eri,18
"Toledo is an Ohio city at the western tip of Lake Erie. It's home to the Toledo Museum of Art, with its vast collection of modern and Renaissance work. Reflecting the city�s legacy of glass production, the museum's Glass Pavilion showcases thousands of glass works. By the Maumee River, the Imagination Station is a children's science museum with hands-on exhibits. The Toledo Zoo has polar bears, rides and an aquarium.�",What are some of the famous museums in Toledo?,"the Toledo Museum of Art, with its vast collection of modern and Renaissance work. Reflecting the city�s legacy of glass production, the museum's Glass Pavilion showcases thousands of glass works. By the Maumee River, the Imagination Station is a children's science museum with hands-on exhibits.",69
"Toledo is an Ohio city at the western tip of Lake Erie. It's home to the Toledo Museum of Art, with its vast collection of modern and Renaissance work. Reflecting the city�s legacy of glass production, the museum's Glass Pavilion showcases thousands of glass works. By the Maumee River, the Imagination Station is a children's science museum with hands-on exhibits. The Toledo Zoo has polar bears, rides and an aquarium.�",What is the city?,Toledo,0
"Toledo is an Ohio city at the western tip of Lake Erie. It's home to the Toledo Museum of Art, with its vast collection of modern and Renaissance work. Reflecting the city�s legacy of glass production, the museum's Glass Pavilion showcases thousands of glass works. By the Maumee River, the Imagination Station is a children's science museum with hands-on exhibits. The Toledo Zoo has polar bears, rides and an aquarium.�","What is the city known for?
","The Toledo Zoo has polar bears, rides and an aquarium.",366
"Henderson is a city near Las Vegas, in Nevada. Clark County Museum has exhibits on regional history, and features restored vintage homes. Lion Habitat Ranch is a sanctuary for big cats. To the east, vast Lake Mead is dotted with marinas, and set in a rocky landscape with valleys and trails. Southwest, the Sloan Canyon National Conservation Area includes a petroglyph site with over 300 ancient rock art panels.",Which state is the city in?,Nevada,39
"Henderson is a city near Las Vegas, in Nevada. Clark County Museum has exhibits on regional history, and features restored vintage homes. Lion Habitat Ranch is a sanctuary for big cats. To the east, vast Lake Mead is dotted with marinas, and set in a rocky landscape with valleys and trails. Southwest, the Sloan Canyon National Conservation Area includes a petroglyph site with over 300 ancient rock art panels.","Where is the city located?
",a city near Las Vegas,13
"Henderson is a city near Las Vegas, in Nevada. Clark County Museum has exhibits on regional history, and features restored vintage homes. Lion Habitat Ranch is a sanctuary for big cats. To the east, vast Lake Mead is dotted with marinas, and set in a rocky landscape with valleys and trails. Southwest, the Sloan Canyon National Conservation Area includes a petroglyph site with over 300 ancient rock art panels.",What is the city?,Henderson,0
"Henderson is a city near Las Vegas, in Nevada. Clark County Museum has exhibits on regional history, and features restored vintage homes. Lion Habitat Ranch is a sanctuary for big cats. To the east, vast Lake Mead is dotted with marinas, and set in a rocky landscape with valleys and trails. Southwest, the Sloan Canyon National Conservation Area includes a petroglyph site with over 300 ancient rock art panels.","What is the city known for?
","Clark County Museum has exhibits on regional history, and features restored vintage homes. Lion Habitat Ranch is a sanctuary for big cats. To the east, vast Lake Mead is dotted with marinas, and set in a rocky landscape with valleys and trails. Southwest, the Sloan Canyon National Conservation Area includes a petroglyph site with over 300 ancient rock art panels",47
